,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Organoheterocyclic compounds; Tetrapyrroles and derivatives; Bilirubins; Bilirubins,0.025722004409929087,0.01250785638302194,0.011515249643078151,0.02861610143161934,0.010714675637177885,0.016206168887354794
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty alcohols; Long-chain fatty alcohols,0.03492583147365404,0.03324445236882139,0.023636061744282157,0.03342666370986755,0.026889864380124813,0.021921715740068914
Organic compounds; Organic acids and derivatives; Carboximidic acids and derivatives; Carboximidic acids; Carboximidic acids,0.005161934338248465,0.004482914501757423,0.0032563772725622505,0.0028632632187143413,0.0031834313773611528,0.002769276059297802
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Long-chain fatty acids,0.1428319155483505,0.12578300026970643,0.0577677317272125,0.11820965986581088,0.15677955335753763,0.07270023615916914
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Dipeptides",0.09639941420743703,0.10423534557229712,0.11363157765742209,0.11751225889846914,0.07930445741996135,0.11900485816938627
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Trihydroxy bile acids, alcohols and derivatives",0.022361499518724758,0.0324705628203289,0.05850930024401796,0.019890536409641398,0.02936598721443315,0.03254818467707548
Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Carboxylic acid derivatives; Acetamides,0.005878339104325242,0.005270812373683693,0.005902090771161055,0.007157132188859044,0.014182933119395034,0.007308381879379483
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Benzoic acid esters,0.0011884352782162782,0.00027502097935011306,0.0,0.00017858284546367833,0.0,0.0
Organic compounds; Alkaloids and derivatives; Harmala alkaloids; unclassified; Harmala alkaloids,0.009320961124094255,0.014381029802877986,0.005138252008092664,0.012267482349245826,0.022590173810094667,0.013887766242626103
"Organic compounds; Lignans, neolignans and related compounds; Dibenzylbutane lignans; unclassified; Dibenzylbutane lignans",0.007142322329620477,0.005019060677902611,0.0052884755962996416,0.014374285329008396,0.0042758972916306145,0.0034141440223428637
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Hydroxysteroids; 3-alpha-hydroxysteroids,0.002650738644506751,0.0002525505181499172,0.0016660194000298497,0.0014442864925823767,0.0025142207250371572,0.00420120158898392
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Monohydroxy bile acids, alcohols and derivatives",0.010278270748806433,0.021652939043645902,0.009003580249981562,0.005145695905702175,0.0040761602929376235,0.005764823304285624
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Lineolic acids and derivatives; Lineolic acids and derivatives,0.05546464656014427,0.04885136135404104,0.06460805450931337,0.059690243415137706,0.06120643038698711,0.035875143117235456
Organic compounds; Organoheterocyclic compounds; Diazines; Pyrimidines and pyrimidine derivatives; Aminopyrimidines and derivatives,0.11231541034375438,0.08368323975835525,0.10212690981988835,0.09396095370429852,0.12669788234084156,0.12748743448361705
Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters,0.007630571513754615,0.009993832333372928,0.007376451425988961,0.012860635313367154,0.0034103754381611864,0.004470665053443379
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Hydroxysteroids; 18-hydroxysteroids,0.0019364843627914065,0.0038546493470474354,0.010934304035007477,0.0044083441315596,0.0038296984003572784,0.005526938579971387
Organic compounds; Phenylpropanoids and polyketides; Coumarins and derivatives; unclassified; Coumarins and derivatives,0.0011305267894400391,0.0002745454029753733,0.0,0.0001563417599625339,0.0,0.0
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Gamma amino acids and derivatives",0.014538193713926723,0.025800254303841214,0.047080307754869134,0.013626236939405812,0.02019466669436679,0.05561005309329941
Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Delta-5-steroids; Delta-5-steroids,0.0002176059151385689,0.0,0.0,0.0,0.0,0.0
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Bile acids, alcohols and derivatives",0.05589755611492374,0.07519170206713471,0.06674505358953309,0.06947399345247685,0.025614997883458574,0.07190851032358496
"Organic compounds; Organic nitrogen compounds; Organonitrogen compounds; Amines; 1,2-aminoalcohols",0.027287616250758564,0.02092365507618084,0.023929392887438936,0.01756485665182602,0.04021658619054767,0.025344959222892625
"Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Bile acids, alcohols and derivatives; Dihydroxy bile acids, alcohols and derivatives",0.018215091719372512,0.01362444074140317,0.009336307873634667,0.015227957913290237,0.015822641863821357,0.023254018161192252
