,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds;  Organoheterocyclic compounds;  Tetrapyrroles and derivatives;  Bilirubins,0.02998796439916652,0.015148576643845873,0.01337437191438554,0.03342134830314964,0.012676715910259139,0.019049492335996395
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty alcohols,0.03448466025493209,0.03285839815783772,0.023042944547643322,0.03343025354739431,0.026811432094337718,0.021865052662465797
Organic compounds;  Organic acids and derivatives;  Carboximidic acids and derivatives;  Carboximidic acids,0.0062034432956784204,0.004882001972062456,0.0035403789813627964,0.003254660095237179,0.0035346416412344217,0.003084833911088442
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty acids and conjugates,0.1528264305588214,0.14631464614233983,0.060838119411366846,0.1258509190543312,0.1719130880713873,0.08210346871106938
"Organic compounds;  Organic acids and derivatives;  Carboxylic acids and derivatives;  Amino acids, peptides, and analogues",0.1791638272345744,0.2204920859515273,0.25066269575270017,0.20745121423360713,0.16905087158399942,0.26039997944945165
"Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Bile acids, alcohols and derivatives",0.10908507476263275,0.13757590574851547,0.15505005432002167,0.10851598421845411,0.07418845423263078,0.1348156558133243
Organic compounds;  Organic acids and derivatives;  Carboxylic acids and derivatives;  Carboxylic acid derivatives,0.015466183495911265,0.017039812515149667,0.014690969444616947,0.023755699596750158,0.02022252735723051,0.013332668563909142
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Benzoic acids and derivatives,0.012841522246016214,0.0057158474092875635,0.0,0.0045727424588731976,0.0006580638059838974,0.00027775358335057753
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Hydroxysteroids,0.004969804328470454,0.004385388477984304,0.013676850314538696,0.006319751007841055,0.006911169175962879,0.010472700117735606
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Lineolic acids and derivatives,0.05422500671052368,0.04810878115637304,0.062425814570006066,0.05817523584723102,0.060679356797086414,0.03525500629998487
Organic compounds;  Organoheterocyclic compounds;  Diazines;  Pyrimidines and pyrimidine derivatives,0.11207561827954367,0.09038916487659639,0.10079998655796682,0.09494887428687626,0.1286809755484238,0.12524067871056047
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Delta-5-steroids,0.00024056313362882814,0.0,0.0,0.0,0.0,0.0
Organic compounds;  Organic nitrogen compounds;  Organonitrogen compounds;  Amines,0.033753895685414585,0.03183039774724743,0.046548036432824645,0.024340205150164263,0.045454882169607566,0.033127573149667626
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Steroidal alkaloids,0.022030823553316523,0.008907743221309812,0.007982872580642134,0.017370878407377513,0.016235981812189222,0.026097233199735524
Organic compounds;  Lipids and lipid-like molecules;  Prenol lipids;  Diterpenoids,0.008736266201901948,0.0016355961866352019,0.0006627103769763595,0.0035335727341591744,0.003513873592674458,0.010879572440071901
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty amides,0.03626876811478932,0.028969325364054988,0.0016276854716560751,0.02531681309538579,0.037764777948467526,0.00712553835186837
Organic compounds;  Organoheterocyclic compounds;  Diazines;  Pyrazines,0.0013728336873399401,0.0015495332371745722,0.00022969247402252713,0.001034684983437999,0.0012533089385235003,0.0
Organic compounds;  Organoheterocyclic compounds;  Azoles;  Imidazoles,0.007825089292854054,0.003278011778681933,0.018247119175106286,0.008233622688493954,0.01005560749463861,0.008799040194776848
Organic compounds;  Organoheterocyclic compounds;  Tetrapyrroles and derivatives;  Porphyrins,0.006297797048732528,0.007847470137442285,0.0027151932582241537,0.004053872337385155,0.01872214798895493,0.002934893440078887
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Benzenesulfonamides,0.01169827354495169,0.009959242052835991,0.008950573122846852,0.0169922329805811,0.00846048502559855,0.00827703134164487
Organic compounds;  Organoheterocyclic compounds;  Indoles and derivatives;  Indolyl carboxylic acids and derivatives,0.04961525138235205,0.0710226111658115,0.07050121151873331,0.06047515826210453,0.0663056650180969,0.07031408407078282
Organic compounds;  Organic oxygen compounds;  Organooxygen compounds;  Ethers,0.002232144013264007,0.0017998658227974778,0.008561824389550636,0.0013788318544620062,0.0010277620786156376,0.015283706072249383
Organic compounds;  Benzenoids;  Benzene and substituted derivatives;  Benzoyl derivatives,0.0007572458411330818,0.0014159801596999595,0.0001428266383118867,0.000566107439406416,0.0007889265897145193,0.0005858428340655184
Organic compounds;  Lipids and lipid-like molecules;  Fatty Acyls;  Fatty acid esters,0.005653399801059159,0.004424116245308071,0.017440024918677657,0.006678507308308132,0.00842485993830136,0.003083175326965237
Organic compounds;  Organic oxygen compounds;  Organooxygen compounds;  Ynols,0.0031226050510314365,0.0030005992990104896,0.0004048244301890273,0.0028721769883094865,0.0038208836706685734,0.0020419442459958283
Organic compounds;  Lipids and lipid-like molecules;  Steroids and steroid derivatives;  Androstane steroids,0.020702848960639175,0.0034152364342387703,0.009976866703486175,0.014921666392816647,0.00905745677287308,0.012994116581751518
Organic compounds;  Organoheterocyclic compounds;  Indoles and derivatives;  Hydroxyindoles,0.0014086020641841425,0.0005233415622304022,0.0013989763995892355,0.0053341433322397535,0.0027887979917403985,0.00218317457692134
