	faith_pd
TW-CO-002	10.553982329283578
TW-BT-001	13.472597127188283
TW-CA-002	19.40322665960948
TW-BD-002	0.0
TW-AV-001	272.20026782251574
TW-BS-002	7.660792572883605
TW-BJ-001	7.660792572883605
TW-CC-002	130.80896459648258
TW-BU-002	0.0
TW-BO-002	0.0
TW-BK-001	24.100665598161438
TW-AW-001	13.472597127188283
TW-AX-002	15.91675373535701
TW-BG-001	7.660792572883606
TW-CH-002	0.0
TW-AW-002	7.660792572883605
TW-BZ-002	16.77713913149355
TW-BD-001	0.0
TW-AG-001	0.0
TW-CV-001	0.0
TW-CK-001	7.660792572883605
TW-CU-002	58.02909491201706
TW-AO-001	0.0
TW-AE-002	0.0
TW-BQ-001	0.0
TW-AF-001	53.609432591794665
TW-CF-001	57.89251191445612
TW-CT-001	0.0
TW-BM-002	24.433706603111474
TW-DA-002	7.660792572883605
TW-DP-002	7.660792572883605
TW-BG-002	17.771072806108513
TW-BO-001	73.92925075698244
TW-CE-001	17.79962312055015
TW-CN-002	17.510914794989702
TW-EE-002	7.660792572883605
TW-CW-002	18.575371843795885
TW-CY-002	0.0
TW-CE-002	18.52710491221829
TW-BN-002	0.0
TW-CO-001	20.4214002263232
TW-CZ-001	0.0
TW-AT-002	7.660792572883605
TW-AP-001	7.660792572883605
TW-DZ-002	0.0
TW-AI-001	0.0
TW-DX-001	7.660792572883605
TW-DJ-001	0.0
TW-DQ-001	0.0
TW-AZ-001	7.660792572883605
TW-DU-002	0.0
TW-DK-001	7.660792572883605
TW-BZ-001	0.0
TW-AV-002	0.0
TW-CQ-001	33.29215539137653
TW-AN-001	44.63000308830476
TW-EH-002	31.051207541558842
TW-CG-001	41.266879638299955
TW-BE-002	13.472597127188283
TW-EE-001	104.29140685940288
TW-CN-001	0.0
TW-BN-001	0.0
TW-CF-002	126.8444708022291
TW-CQ-002	40.88061872374594
TW-BT-002	13.472597127188283
TW-DR-001	85.08791995706576
TW-DA-001	31.730530069710753
TW-DU-001	0.0
TW-AR-001	12.963297978737476
TW-CB-002	0.0
TW-BV-001	0.0
TW-AK-001	40.75802296821377
TW-AY-002	7.660792572883605
TW-AX-001	0.0
TW-AG-002	27.452712220745745
TW-AU-001	42.980301868192804
TW-DG-002	0.0
TW-BE-001	0.0
TW-DS-001	0.0
TW-BJ-002	0.0
TW-AI-002	22.47091569475981
TW-AU-002	0.0
TW-AN-002	0.0
TW-BL-001	11.642102065497618
TW-CP-002	12.963297978737476
TW-BA-002	7.660792572883605
TW-AP-002	0.0
TW-BS-001	49.179585628827354
TW-AA-002	19.01707510194534
TW-AY-001	72.71895028487845
TW-BL-002	7.660792572883606
TW-DY-002	7.660792572883605
TW-DM-002	0.0
TW-AF-002	14.094573492751119
TW-DB-001	7.660792572883605
TW-AQ-001	0.0
TW-CS-002	25.169616189215617
TW-BI-002	0.0
TW-CA-001	33.01021843053363
TW-BQ-002	0.0
TW-BA-001	0.0
TW-AM-002	26.792043116908992
TW-AT-001	99.25890422204328
TW-AM-001	7.660792572883605
TW-DG-001	0.0
TW-CB-001	13.472597127188283
TW-CC-001	0.0
TW-BU-001	187.97288240831662
TW-CW-001	0.0
TW-DQ-002	23.138252124680307
TW-DZ-001	23.32888343675676
TW-DB-002	7.660792572883605
TW-AZ-002	0.0
TW-AK-002	13.775959193486853
TW-CI-001	101.6224294558841
CIR57-001	0.0
CIR42-002	12.799369629824609
CIR55-003	80.32928640285442
CIR61-001	18.70240185124731
CIR32-002	0.0
CIR51-001	0.0
CIR5-006	38.4819670599159
CIR55-004	0.0
CIR21-002	0.0
CIR53-001	0.0
CIR51-004	0.0
CIR32-001	7.660792572883605
CIR60-003	7.660792572883605
CIR6-001	11.921301325807423
CIR54-002	25.465076853819518
CIR52-003	0.0
CIR54-001	7.660792572883604
CIR16-001	67.31401463499347
CIR58-002	34.968588342061594
CIR16-002	0.0
CIR23-001	46.384700996448615
CIR58-001	18.77406380457367
CIR7-002	0.0
CIR21-001	0.0
CIR41-002	18.363908787558085
CIR26-001	77.63184089202215
CIR22-002	121.67384434613712
CIR52-001	14.467799725445602
CIR53-002	0.0
CIR60-001	25.373324480580287
CIR60-002	0.0
CIR51-003	66.5402429904464
CIR19-002	0.0
CIR18-001	7.660792572883605
CIR4-002	39.25330482001545
CIR57-002	24.039710084786783
CIR42-001	10.556388182061852
CIR61-002	7.660792572883605
CIR20-001	17.30627313008981
CIR20-002	0.0
CIR51-005	42.02835756208964
CIR4-003	32.68287146714023
CIR18-002	29.512271786225835
CIR41-001	0.0
CIR63-002	7.660792572883605
CIR19-001	0.0
CIR5-001	0.0
CIR55-002	44.11751862791486
CIR26-002	7.660792572883605
CIR5-002	7.660792572883605
CIR55-001	19.447420949768677
CIR7-001	18.556077087013502
