#SampleID,faith_pd,groups
TW-CO-002,433.09136934183823,G1R
TW-BT-001,508.6583198703407,G2P
TW-CA-002,310.14321835273523,G1R
TW-BD-002,313.02511755180365,G2P
TW-AV-001,727.8041679777859,G2P
TW-BS-002,221.65521056058608,G1P
TW-BJ-001,590.7597040653283,G1R
TW-CC-002,713.950065040528,G1R
TW-BU-002,394.89047346057,G1P
TW-BO-002,318.63368320512524,G2R
TW-BK-001,456.4061834692483,G1P
TW-AW-001,466.27278642969526,G1P
TW-AX-002,483.2554181045759,G1R
TW-BG-001,129.85719571693986,G1P
TW-CH-002,106.22437295035064,G1R
TW-AW-002,470.0545356022593,G1R
TW-BZ-002,538.3524527231673,G1P
TW-BD-001,130.34911474906428,G2R
TW-AG-001,180.74790118658012,G1R
TW-CV-001,53.62561730970314,G1P
TW-CK-001,89.1482127949609,G2P
TW-CU-002,266.2546461445624,G2P
TW-AO-001,104.49740983963946,G1P
TW-AE-002,474.5136563116015,G2P
TW-BQ-001,335.74189549185814,G1P
TW-AF-001,403.52653302732386,G1P
TW-CF-001,577.3172872647754,G2P
TW-CT-001,131.60196911337846,G1P
TW-BM-002,544.7858789567715,G1P
TW-DA-002,238.35246832901922,G2P
TW-DP-002,164.8397027954317,G1P
TW-BG-002,370.17641487991096,G1R
TW-BO-001,458.5741091518271,G2P
TW-CE-001,368.66796583276994,G2P
TW-CN-002,384.32888670087647,G2P
TW-EE-002,90.39678747416686,G1R
TW-CW-002,583.6555895364476,G1R
TW-CY-002,365.8988797214654,G2R
TW-CE-002,500.18008204748185,G2R
TW-BN-002,356.99046248769173,G1R
TW-CO-001,176.934652626625,G1P
TW-CZ-001,371.34040338027773,G1P
TW-AT-002,355.0528335301819,G1R
TW-AP-001,292.6857655145763,G1R
TW-DZ-002,142.0128203581878,G1R
TW-AI-001,518.6743547637685,G1P
TW-DX-001,266.76211874002854,G1P
TW-DJ-001,167.673111668109,G1P
TW-DQ-001,119.7061901580764,G1P
TW-AZ-001,317.18319550871087,G1R
TW-DU-002,111.42916236370786,G1P
TW-DK-001,128.26783850323196,G1R
TW-BZ-001,98.93181491744093,G1R
TW-AV-002,77.34454962106491,G2R
TW-CQ-001,605.5963248284834,G2P
TW-AN-001,471.2095411506681,G1P
TW-EH-002,567.3003684830045,G1P
TW-CG-001,620.3948960217389,G1P
TW-BE-002,96.85065774631786,G1P
TW-EE-001,738.3742012142433,G1P
TW-CN-001,90.91288890056705,G2R
TW-BN-001,524.1033721976019,G1P
TW-CF-002,400.5307113552812,G2R
TW-CQ-002,735.8081711160146,G2R
TW-BT-002,421.37047990538287,G2R
TW-DR-001,643.2307819577748,G1P
TW-DA-001,430.8276246182657,G2R
TW-DU-001,92.83674305300991,G1R
TW-AR-001,253.92975724093046,G1P
TW-CB-002,49.372166916293494,G1P
TW-BV-001,312.712873664429,G1P
TW-AK-001,565.5676142960331,G2P
TW-AY-002,58.80279804836842,G1R
TW-AX-001,274.90450262494136,G1P
TW-AG-002,470.48259245296964,G1P
TW-AU-001,455.9493167020236,G1P
TW-DG-002,219.14723788400602,G1R
TW-BE-001,76.38583472253248,G1R
TW-DS-001,105.34658517007445,G1R
TW-BJ-002,490.21650479364286,G1P
TW-AI-002,250.5093609086953,G1R
TW-AU-002,328.9393485188964,G1R
TW-AN-002,328.3181826517931,G1R
TW-BL-001,282.83023194656863,G2R
TW-CP-002,197.9311337316981,G1R
TW-BA-002,320.3541677053245,G2P
TW-AP-002,167.85313239004108,G1P
TW-BS-001,411.720078697893,G1R
TW-AA-002,397.3150026754119,G2R
TW-AY-001,540.5237311958133,G1P
TW-BL-002,99.22191212211914,G2P
TW-DY-002,212.8321634521943,G1P
TW-DM-002,78.61209899208627,G1P
TW-AF-002,187.0370970592432,G1R
TW-DB-001,416.9025946661885,G1P
TW-AQ-001,262.33507292014684,G2P
TW-CS-002,491.99817016442637,G1P
TW-BI-002,214.33613509383326,G1R
TW-CA-001,556.8305110591031,G1P
TW-BQ-002,502.4702938482448,G1R
TW-BA-001,221.6912867071436,G2R
TW-AM-002,493.58932199631056,G1R
TW-AT-001,764.9438442663312,G1P
TW-AM-001,241.3130563569577,G1P
TW-DG-001,263.4755480565986,G1P
TW-CB-001,471.08442940925397,G1R
TW-CC-001,291.79334129937087,G1P
TW-BU-001,822.1625458432584,G1R
TW-CW-001,412.7043314346577,G1P
TW-DQ-002,220.36376032817498,G1R
TW-DZ-001,199.33304677019558,G1P
TW-DB-002,220.89406288319645,G1R
TW-AZ-002,179.63686194418838,G1P
TW-AK-002,434.54634290027695,G2R
TW-CI-001,736.4435530702049,G1R
CIR57-001,194.6535646670841,G3P
CIR42-002,310.9337633575557,G3R
CIR55-003,563.2309964848059,G3R
CIR61-001,54.16684959527456,G3P
CIR32-002,75.16175280247893,G3R
CIR51-001,361.80480881088346,G3P
CIR5-006,240.48911044335225,G3R
CIR55-004,382.7137702226447,G3R
CIR21-002,255.99198773005628,G3R
CIR53-001,300.73487815046764,G3P
CIR51-004,200.2189015436037,G3R
CIR32-001,221.91124538904546,G3P
CIR60-003,190.59961186963025,G3R
CIR6-001,470.7415864509144,G3P
CIR54-002,423.90185299378913,G3R
CIR52-003,153.99235450314075,G3R
CIR54-001,264.39225502568183,G3P
CIR16-001,772.2218984201843,G3P
