	observed_otus
TW-CO-002	2
TW-BT-001	2
TW-CA-002	4
TW-BD-002	0
TW-AV-001	95
TW-BS-002	1
TW-BJ-001	1
TW-CC-002	33
TW-BU-002	0
TW-BO-002	0
TW-BK-001	5
TW-AW-001	2
TW-AX-002	3
TW-BG-001	1
TW-CH-002	0
TW-AW-002	1
TW-BZ-002	4
TW-BD-001	0
TW-AG-001	0
TW-CV-001	0
TW-CK-001	1
TW-CU-002	12
TW-AO-001	0
TW-AE-002	0
TW-BQ-001	0
TW-AF-001	13
TW-CF-001	14
TW-CT-001	0
TW-BM-002	5
TW-DA-002	1
TW-DP-002	1
TW-BG-002	4
TW-BO-001	17
TW-CE-001	4
TW-CN-002	3
TW-EE-002	1
TW-CW-002	3
TW-CY-002	0
TW-CE-002	3
TW-BN-002	0
TW-CO-001	4
TW-CZ-001	0
TW-AT-002	1
TW-AP-001	1
TW-DZ-002	0
TW-AI-001	0
TW-DX-001	1
TW-DJ-001	0
TW-DQ-001	0
TW-AZ-001	1
TW-DU-002	0
TW-DK-001	1
TW-BZ-001	0
TW-AV-002	0
TW-CQ-001	6
TW-AN-001	14
TW-EH-002	6
TW-CG-001	8
TW-BE-002	2
TW-EE-001	27
TW-CN-001	0
TW-BN-001	0
TW-CF-002	32
TW-CQ-002	8
TW-BT-002	2
TW-DR-001	23
TW-DA-001	7
TW-DU-001	0
TW-AR-001	2
TW-CB-002	0
TW-BV-001	0
TW-AK-001	10
TW-AY-002	1
TW-AX-001	0
TW-AG-002	5
TW-AU-001	12
TW-DG-002	0
TW-BE-001	0
TW-DS-001	0
TW-BJ-002	0
TW-AI-002	4
TW-AU-002	0
TW-AN-002	0
TW-BL-001	2
TW-CP-002	2
TW-BA-002	1
TW-AP-002	0
TW-BS-001	13
TW-AA-002	6
TW-AY-001	20
TW-BL-002	1
TW-DY-002	1
TW-DM-002	0
TW-AF-002	2
TW-DB-001	1
TW-AQ-001	0
TW-CS-002	6
TW-BI-002	0
TW-CA-001	7
TW-BQ-002	0
TW-BA-001	0
TW-AM-002	5
TW-AT-001	27
TW-AM-001	1
TW-DG-001	0
TW-CB-001	2
TW-CC-001	0
TW-BU-001	58
TW-CW-001	0
TW-DQ-002	4
TW-DZ-001	4
TW-DB-002	1
TW-AZ-002	0
TW-AK-002	2
TW-CI-001	26
CIR57-001	0
CIR42-002	2
CIR55-003	19
CIR61-001	3
CIR32-002	0
CIR51-001	0
CIR5-006	7
CIR55-004	0
CIR21-002	0
CIR53-001	0
CIR51-004	0
CIR32-001	1
CIR60-003	1
CIR6-001	3
CIR54-002	5
CIR52-003	0
CIR54-001	1
CIR16-001	16
CIR58-002	6
CIR16-002	0
CIR23-001	11
CIR58-001	5
CIR7-002	0
CIR21-001	0
CIR41-002	4
CIR26-001	21
CIR22-002	30
CIR52-001	2
CIR53-002	0
CIR60-001	4
CIR60-002	0
CIR51-003	16
CIR19-002	0
CIR18-001	1
CIR4-002	7
CIR57-002	5
CIR42-001	2
CIR61-002	1
CIR20-001	3
CIR20-002	0
CIR51-005	9
CIR4-003	8
CIR18-002	6
CIR41-001	0
CIR63-002	1
CIR19-001	0
CIR5-001	0
CIR55-002	11
CIR26-002	1
CIR5-002	1
CIR55-001	4
CIR7-001	3
