#SampleID,observed_otus,groups
TW-CO-002,145,G1R
TW-BT-001,175,G2P
TW-CA-002,107,G1R
TW-BD-002,102,G2P
TW-AV-001,286,G2P
TW-BS-002,70,G1P
TW-BJ-001,218,G1R
TW-CC-002,250,G1R
TW-BU-002,143,G1P
TW-BO-002,105,G2R
TW-BK-001,158,G1P
TW-AW-001,160,G1P
TW-AX-002,171,G1R
TW-BG-001,36,G1P
TW-CH-002,27,G1R
TW-AW-002,166,G1R
TW-BZ-002,199,G1P
TW-BD-001,40,G2R
TW-AG-001,53,G1R
TW-CV-001,14,G1P
TW-CK-001,21,G2P
TW-CU-002,86,G2P
TW-AO-001,31,G1P
TW-AE-002,170,G2P
TW-BQ-001,114,G1P
TW-AF-001,128,G1P
TW-CF-001,188,G2P
TW-CT-001,32,G1P
TW-BM-002,189,G1P
TW-DA-002,69,G2P
TW-DP-002,51,G1P
TW-BG-002,126,G1R
TW-BO-001,162,G2P
TW-CE-001,128,G2P
TW-CN-002,126,G2P
TW-EE-002,20,G1R
TW-CW-002,198,G1R
TW-CY-002,123,G2R
TW-CE-002,179,G2R
TW-BN-002,113,G1R
TW-CO-001,58,G1P
TW-CZ-001,126,G1P
TW-AT-002,117,G1R
TW-AP-001,87,G1R
TW-DZ-002,38,G1R
TW-AI-001,192,G1P
TW-DX-001,85,G1P
TW-DJ-001,46,G1P
TW-DQ-001,28,G1P
TW-AZ-001,105,G1R
TW-DU-002,29,G1P
TW-DK-001,33,G1R
TW-BZ-001,26,G1R
TW-AV-002,18,G2R
TW-CQ-001,226,G2P
TW-AN-001,172,G1P
TW-EH-002,202,G1P
TW-CG-001,216,G1P
TW-BE-002,20,G1P
TW-EE-001,276,G1P
TW-CN-001,24,G2R
TW-BN-001,185,G1P
TW-CF-002,130,G2R
TW-CQ-002,260,G2R
TW-BT-002,140,G2R
TW-DR-001,234,G1P
TW-DA-001,152,G2R
TW-DU-001,20,G1R
TW-AR-001,86,G1P
TW-CB-002,9,G1P
TW-BV-001,110,G1P
TW-AK-001,198,G2P
TW-AY-002,13,G1R
TW-AX-001,90,G1P
TW-AG-002,163,G1P
TW-AU-001,162,G1P
TW-DG-002,66,G1R
TW-BE-001,15,G1R
TW-DS-001,25,G1R
TW-BJ-002,178,G1P
TW-AI-002,87,G1R
TW-AU-002,109,G1R
TW-AN-002,108,G1R
TW-BL-001,89,G2R
TW-CP-002,58,G1R
TW-BA-002,115,G2P
TW-AP-002,46,G1P
TW-BS-001,144,G1R
TW-AA-002,133,G2R
TW-AY-001,200,G1P
TW-BL-002,27,G2P
TW-DY-002,66,G1P
TW-DM-002,18,G1P
TW-AF-002,50,G1R
TW-DB-001,136,G1P
TW-AQ-001,87,G2P
TW-CS-002,181,G1P
TW-BI-002,70,G1R
TW-CA-001,187,G1P
TW-BQ-002,175,G1R
TW-BA-001,67,G2R
TW-AM-002,171,G1R
TW-AT-001,290,G1P
TW-AM-001,72,G1P
TW-DG-001,85,G1P
TW-CB-001,169,G1R
TW-CC-001,94,G1P
TW-BU-001,322,G1R
TW-CW-001,144,G1P
TW-DQ-002,65,G1R
TW-DZ-001,57,G1P
TW-DB-002,78,G1R
TW-AZ-002,54,G1P
TW-AK-002,146,G2R
TW-CI-001,281,G1R
CIR57-001,57,G3P
CIR42-002,102,G3R
CIR55-003,186,G3R
CIR61-001,12,G3P
CIR32-002,18,G3R
CIR51-001,122,G3P
CIR5-006,71,G3R
CIR55-004,124,G3R
CIR21-002,76,G3R
CIR53-001,95,G3P
CIR51-004,59,G3R
CIR32-001,64,G3P
CIR60-003,55,G3R
CIR6-001,164,G3P
CIR54-002,159,G3R
CIR52-003,46,G3R
CIR54-001,83,G3P
CIR16-001,275,G3P
CIR58-002,97,G3R
CIR16-002,13,G3R
CIR23-001,187,G3P
CIR58-001,118,G3P
CIR7-002,35,G3R
CIR21-001,188,G3P
CIR41-002,48,G3R
CIR26-001,189,G3P
CIR22-002,162,G3R
CIR52-001,80,G3P
CIR53-002,46,G3R
CIR60-001,157,G3P
CIR60-002,39,G3R
CIR51-003,252,G3R
CIR19-002,48,G3R
CIR18-001,237,G3P
CIR4-002,110,G3R
CIR57-002,85,G3R
CIR42-001,21,G3P
CIR61-002,158,G3R
CIR20-001,119,G3P
CIR20-002,5,G3R
CIR51-005,225,G3R
CIR4-003,152,G3R
CIR18-002,219,G3R
CIR41-001,90,G3P
CIR63-002,115,G3R
CIR19-001,17,G3P
CIR5-001,34,G3P
CIR55-002,202,G3R
CIR26-002,127,G3R
CIR5-002,45,G3R
CIR55-001,155,G3P
CIR7-001,170,G3P
