	shannon
TW-CO-002	1.0
TW-BT-001	1.0
TW-CA-002	2.0
TW-BD-002	
TW-AV-001	6.5698556083309505
TW-BS-002	-0.0
TW-BJ-001	-0.0
TW-CC-002	5.044394119358453
TW-BU-002	
TW-BO-002	
TW-BK-001	2.3219280948873626
TW-AW-001	1.0
TW-AX-002	1.584962500721156
TW-BG-001	-0.0
TW-CH-002	
TW-AW-002	-0.0
TW-BZ-002	2.0
TW-BD-001	
TW-AG-001	
TW-CV-001	
TW-CK-001	-0.0
TW-CU-002	3.584962500721157
TW-AO-001	
TW-AE-002	
TW-BQ-001	
TW-AF-001	3.700439718141093
TW-CF-001	3.8073549220576033
TW-CT-001	
TW-BM-002	2.3219280948873626
TW-DA-002	-0.0
TW-DP-002	-0.0
TW-BG-002	2.0
TW-BO-001	4.08746284125034
TW-CE-001	2.0
TW-CN-002	1.584962500721156
TW-EE-002	-0.0
TW-CW-002	1.584962500721156
TW-CY-002	
TW-CE-002	1.584962500721156
TW-BN-002	
TW-CO-001	2.0
TW-CZ-001	
TW-AT-002	-0.0
TW-AP-001	-0.0
TW-DZ-002	
TW-AI-001	
TW-DX-001	-0.0
TW-DJ-001	
TW-DQ-001	
TW-AZ-001	-0.0
TW-DU-002	
TW-DK-001	-0.0
TW-BZ-001	
TW-AV-002	
TW-CQ-001	2.584962500721156
TW-AN-001	3.8073549220576033
TW-EH-002	2.584962500721156
TW-CG-001	3.0
TW-BE-002	1.0
TW-EE-001	4.754887502163469
TW-CN-001	
TW-BN-001	
TW-CF-002	5.0
TW-CQ-002	3.0
TW-BT-002	1.0
TW-DR-001	4.523561956057013
TW-DA-001	2.8073549220576037
TW-DU-001	
TW-AR-001	1.0
TW-CB-002	
TW-BV-001	
TW-AK-001	3.321928094887362
TW-AY-002	-0.0
TW-AX-001	
TW-AG-002	2.3219280948873626
TW-AU-001	3.584962500721157
TW-DG-002	
TW-BE-001	
TW-DS-001	
TW-BJ-002	
TW-AI-002	2.0
TW-AU-002	
TW-AN-002	
TW-BL-001	1.0
TW-CP-002	1.0
TW-BA-002	-0.0
TW-AP-002	
TW-BS-001	3.700439718141093
TW-AA-002	2.584962500721156
TW-AY-001	4.321928094887363
TW-BL-002	-0.0
TW-DY-002	-0.0
TW-DM-002	
TW-AF-002	1.0
TW-DB-001	-0.0
TW-AQ-001	
TW-CS-002	2.584962500721156
TW-BI-002	
TW-CA-001	2.8073549220576037
TW-BQ-002	
TW-BA-001	
TW-AM-002	2.3219280948873626
TW-AT-001	4.754887502163469
TW-AM-001	-0.0
TW-DG-001	
TW-CB-001	1.0
TW-CC-001	
TW-BU-001	5.857980995127572
TW-CW-001	
TW-DQ-002	2.0
TW-DZ-001	2.0
TW-DB-002	-0.0
TW-AZ-002	
TW-AK-002	1.0
TW-CI-001	4.7004397181410935
CIR57-001	
CIR42-002	1.0
CIR55-003	4.247927513443585
CIR61-001	1.584962500721156
CIR32-002	
CIR51-001	
CIR5-006	2.8073549220576037
CIR55-004	
CIR21-002	
CIR53-001	
CIR51-004	
CIR32-001	-0.0
CIR60-003	-0.0
CIR6-001	1.584962500721156
CIR54-002	2.3219280948873626
CIR52-003	
CIR54-001	-0.0
CIR16-001	4.0
CIR58-002	2.584962500721156
CIR16-002	
CIR23-001	3.4594316186372978
CIR58-001	2.3219280948873626
CIR7-002	
CIR21-001	
CIR41-002	2.0
CIR26-001	4.392317422778759
CIR22-002	4.906890595608518
CIR52-001	1.0
CIR53-002	
CIR60-001	2.0
CIR60-002	
CIR51-003	4.0
CIR19-002	
CIR18-001	-0.0
CIR4-002	2.8073549220576037
CIR57-002	2.3219280948873626
CIR42-001	1.0
CIR61-002	-0.0
CIR20-001	1.584962500721156
CIR20-002	
CIR51-005	3.1699250014423126
CIR4-003	3.0
CIR18-002	2.584962500721156
CIR41-001	
CIR63-002	-0.0
CIR19-001	
CIR5-001	
CIR55-002	3.4594316186372978
CIR26-002	-0.0
CIR5-002	-0.0
CIR55-001	2.0
CIR7-001	1.584962500721156
