	shannon
TW-CO-002	6.267937620546332
TW-BT-001	6.226870646961102
TW-CA-002	5.6151125931522845
TW-BD-002	5.82867588860202
TW-AV-001	7.112775193859455
TW-BS-002	5.193358047609273
TW-BJ-001	6.629646380682482
TW-CC-002	6.960962235454097
TW-BU-002	6.322040404404792
TW-BO-002	5.8798704756632
TW-BK-001	6.368160610166694
TW-AW-001	6.535509782482703
TW-AX-002	6.209899105226226
TW-BG-001	4.600103001388261
TW-CH-002	4.0557630715868385
TW-AW-002	6.147307245299848
TW-BZ-002	6.403085613174839
TW-BD-001	4.724805568185199
TW-AG-001	5.047884625010123
TW-CV-001	3.076434377051685
TW-CK-001	2.9542129796210226
TW-CU-002	5.28503766681559
TW-AO-001	4.4557544289508995
TW-AE-002	6.502555722484134
TW-BQ-001	5.898590344872905
TW-AF-001	5.291411448899444
TW-CF-001	6.206243307543667
TW-CT-001	3.7960848530766724
TW-BM-002	6.6087170515818565
TW-DA-002	5.15787281393356
TW-DP-002	4.967331035778438
TW-BG-002	6.185454131201211
TW-BO-001	6.3933923833186705
TW-CE-001	6.043999082604557
TW-CN-002	5.630572446674856
TW-EE-002	3.6383169963227724
TW-CW-002	6.453521731670928
TW-CY-002	5.37088404179642
TW-CE-002	6.597213562129969
TW-BN-002	5.6157648203443715
TW-CO-001	4.675990345048977
TW-CZ-001	6.025148221002132
TW-AT-002	6.193455516712396
TW-AP-001	5.066383763327171
TW-DZ-002	4.395894817115298
TW-AI-001	6.653194260302941
TW-DX-001	5.616394486204794
TW-DJ-001	4.462256680638012
TW-DQ-001	3.1888467461348857
TW-AZ-001	5.591548962710987
TW-DU-002	4.1780331169655005
TW-DK-001	3.8660477338733337
TW-BZ-001	4.1721747907227495
TW-AV-002	3.2477376636569635
TW-CQ-001	6.332274034952216
TW-AN-001	6.28134681418503
TW-EH-002	6.7292842299642635
TW-CG-001	6.0320260438120945
TW-BE-002	3.0425929675191448
TW-EE-001	6.965950480171687
TW-CN-001	3.7931261649556864
TW-BN-001	6.785223890522501
TW-CF-002	5.2662788926398
TW-CQ-002	7.187967597924764
TW-BT-002	6.382011123054546
TW-DR-001	6.76425126596678
TW-DA-001	6.356515606772031
TW-DU-001	3.1290158947878832
TW-AR-001	5.562806018357231
TW-CB-002	2.1316133246169953
TW-BV-001	6.011517994987697
TW-AK-001	6.317705393696162
TW-AY-002	3.1416762878097897
TW-AX-001	5.532905969771155
TW-AG-002	6.616791372123571
TW-AU-001	6.415511173260639
TW-DG-002	5.433602731454734
TW-BE-001	3.1240241573859464
TW-DS-001	3.6323812738955676
TW-BJ-002	6.463866804643876
TW-AI-002	5.648791079997585
TW-AU-002	5.936016412036922
TW-AN-002	5.949130036575884
TW-BL-001	5.861594553592918
TW-CP-002	5.082594689654918
TW-BA-002	6.016405659306772
TW-AP-002	4.872897000906114
TW-BS-001	5.8407726660554955
TW-AA-002	6.23399700291439
TW-AY-001	6.770695873514715
TW-BL-002	4.015600127332377
TW-DY-002	5.331885249101703
TW-DM-002	3.230631921209133
TW-AF-002	4.646920447448478
TW-DB-001	6.296355799326792
TW-AQ-001	5.485121203398813
TW-CS-002	6.326247244822519
TW-BI-002	5.276290281311244
TW-CA-001	6.474722625078802
TW-BQ-002	6.572708231830266
TW-BA-001	5.174710844073183
TW-AM-002	5.974960095784175
TW-AT-001	6.952570091470657
TW-AM-001	5.630310672048298
TW-DG-001	5.493233011918963
TW-CB-001	6.280355995322961
TW-CC-001	5.676495716476164
TW-BU-001	7.131142857138025
TW-CW-001	6.333996796604917
TW-DQ-002	4.561240885695716
TW-DZ-001	4.4020869955710635
TW-DB-002	5.589350605294561
TW-AZ-002	4.964191288435774
TW-AK-002	6.383308729246983
TW-CI-001	6.849075383928946
CIR57-001	5.017148848025453
CIR42-002	5.956027313504203
CIR55-003	5.253797392287609
CIR61-001	2.9352469660528144
CIR32-002	3.174210781394843
CIR51-001	6.086489920783394
CIR5-006	5.328564786775045
CIR55-004	6.110876455853281
CIR21-002	5.4124551116523
CIR53-001	5.582738486091246
CIR51-004	5.242391884559553
CIR32-001	4.9017934521354745
CIR60-003	5.1276412507487255
CIR6-001	5.862159649522676
CIR54-002	6.306651450103178
CIR52-003	4.805077223790453
CIR54-001	5.412287722884386
CIR16-001	6.704364930521239
CIR58-002	5.580182632123637
CIR16-002	2.8454042181816046
CIR23-001	6.442203402713125
CIR58-001	5.804715437458243
CIR7-002	4.433041171032311
CIR21-001	6.5868683016974785
CIR41-002	4.357799987698634
CIR26-001	6.715669488284189
CIR22-002	6.384942354912586
CIR52-001	4.415264464792406
CIR53-002	4.801969275383476
CIR60-001	5.6712453620481105
CIR60-002	1.1896371543459971
CIR51-003	6.987425549494913
CIR19-002	4.6967433467146
CIR18-001	6.569728347945383
CIR4-002	5.986271035291258
CIR57-002	5.563824724003125
CIR42-001	4.000338158362704
CIR61-002	6.405374119053127
CIR20-001	3.825235444757229
CIR20-002	1.511266191498455
CIR51-005	6.873619691042618
CIR4-003	5.940624888470878
CIR18-002	6.764030735015852
CIR41-001	5.771549519972543
CIR63-002	5.679215010827885
CIR19-001	2.996336329867782
CIR5-001	4.001566526045698
CIR55-002	6.324099366038672
CIR26-002	6.060164842369489
CIR5-002	4.852426148005808
CIR55-001	6.3910503959133855
CIR7-001	6.100045169111978
