	cdf8d23687cfc324485e2bd3e0094ff2	fb758530086adf438d5ebe8f83847f2d	d2ef3361261cc1d835ad59394bfe161c	0ba75f593218ef056eefaeab285ae839	3d7f155024af16ecbe4c9baefdd571be	c0095c69fee5c767903814b366fcb860	54e3ef405d9d82cfed4858f3191c2522	6ba039413a4b798ba234b05c568ff300	53cb1796cbb423bcd59853acdf63befe	f7dd0dbd9e8f975d44295498a1c3aa85	2edf779ef11d889a9532e620fda1bbf2	144080b4b2ddd9a2ccc1c5c8d094e2db	9e2c7416a860af0b0d508dba6fc92435	41ac582194f67aa6ab674ec82573c2b5	db77705855bc4611e9c4fedca4b4f926	2185af0fb67a28d45ca0b367331adc90	5852572a553ed731a4e55f2f31166213	0c959ee3a5a474df1114c327dd8cdcac	8906c43cbd5e72d65ed9e7aacd1c2321	94339fd999feeede310ccc2e5c29c13b	5b4e936782da10249603e94105689a6f	4deeef4aa3231abf469afec860b7b1ea	4508ce20c9b99a6e1c24fd3afdbc1e2f	2984aa4bc8addecd801f5101d8dd139b	6383ad32dcb0746a9105d5b2889e4d94	901b6e2bf2d45cfa9b38a99784cd0459	2eb15a6e35d5214137b1f0571d4c31b2	ae800abf76b2463f243462d0087f24be	87b2ee3ab5930cf0663d663ff1b3c524	c4072a4cebaed2ae18764f402d5b8c43	5d6c8094421e22fa24e09de3169f49b4	2979c877ea3a9babda609affb260668c	c1aa71656d6e2ef3535930d0b09ca012	71b646c82731aa8e14f60ee428337721	2fc1c858776003addaf081a465cda6d7	b1641320e489f96bb9ddd6b08a7e574e	9485b85b5c81043b85a849131809c92b	9b58756d5fe505a4cd0ab4917e5e3ce3	f3c9367e79341d7de4456c32b588b86f	832c0802efe61204586cbbefee574d43	d49b933216498ccb080d8aa7ce5d3902	35def52a34fbd75d08ef99a87b5251da	c105049a81dcab19d86f141a691ab5fb	28a02f8e5fcae1d3b8d41678bf1276fd	2ed762ffceda0c2dc67e9ae95d1fb858	178929d3e7f149a19dbd6b0edc66633b	076048a24f2e01c5f6b07bfcde6bbcd5	d2db4c8806f5f6a40fee293cb4f88f7d	7d77e5a1807f89e7ee7cf109a12d0048	8e1376b2f43f2b926aa075c7f8c32783
TW-CO-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9342.602	0.0	0.0	8805.025	0.0	0.0	0.0	0.0	14700.2525	0.0	0.0	13908.575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TW-BT-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15144.791	0.0	5294.196999999999	8300.2965	0.0	0.0	20913.9045	0.0	0.0	0.0	0.0	32452.8365	6740.221	104090.6035	0.0	5868.7155	28165.106	0.0	0.0	27263.175	0.0	0.0	21152.0465
TW-CA-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5511.9025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7405.821	0.0	5773.0790000000015	0.0	0.0	11388.901000000002	0.0	5299.343000000002	0.0	88143.091	0.0	0.0	19243.7	0.0	10962.098999999998	0.0	0.0	6582.587	0.0	0.0	0.0	5959.218000000002	0.0	0.0	567411.4285
TW-BD-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7273.603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6565.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5724.648	0.0	0.0	7706.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17566.0895	13724.545	0.0	0.0	0.0
TW-AV-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5322.596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8760.581	0.0	0.0	0.0	0.0	0.0	0.0	17468.538	0.0	113044.0515	45965.445	0.0	38894.7885	0.0	0.0	0.0	0.0	0.0	60909.8355	126273.365	0.0	69618.935	152339.693	28396.5565	497497.739	0.0	0.0
TW-BS-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18157.827	0.0	6567.4209999999985	0.0	0.0	0.0	6300.7455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5537.924	0.0
TW-BJ-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15971.141	0.0	32530.364	13571.8565	110524.607	0.0	141276.531	0.0	19343.492	0.0	0.0	0.0	0.0	0.0	18291.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7051.913000000001	0.0	0.0	0.0	0.0	48672.0395	0.0	0.0	0.0	0.0	0.0	7294.254	30165.057	13734.9755
TW-CC-002	18672.936	22803.241	21344.5925	0.0	13296.56	25901.0425	0.0	10540.662	37982.028	8240.5265	0.0	21536.4505	5739.677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50601.821	0.0	0.0	0.0	0.0	22815.4275	0.0	21111.26	0.0	0.0	22128.142000000003	38810.4475	17417.7655	0.0	0.0	15908.9715	7317.513000000001	0.0	0.0	25288.585	6029.35	0.0	32825.5665	0.0	0.0	59061.7575	212940.0195	0.0	0.0	34929.5305
TW-BU-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61430.2165	0.0	0.0	0.0	26044.1715	0.0	0.0	0.0	6076.0795	0.0	0.0	0.0	159251.361	0.0	0.0	10358.6785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5033.2475	0.0	0.0	0.0	0.0	0.0	0.0	46184.8415	5878.9635	0.0	12248.1475	0.0
TW-BO-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14460.6765	0.0	16653.3405	0.0	24334.211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5511.611	0.0	0.0	0.0	0.0	0.0
