	0004069a1f2c3f2b14511a4f367e485d	0013ada35a72573fde974722d6f46269	0074f0d3d22016bcdf28ee53c8a5062b	012ade16945709e69650957b8fdeb021	015bcc773d2fe77d5ddf3533aff00a9f	0171c4a4201b9604da3efc9305fc5264	017460a73612042af020d72a944567b4	01809bb355414a0015fd764cba9c5014	01a15bb425333e9bb45a57970a4fd744	01f940cc9606a206fc0f5f4be686142a	01f9feb2a4c23ae6dbbfddd03a30a949	021cc127437b5c0aede393b33d882fa0	022498ce76429e0c6aeebc91003e3cea	022d9bc10db7254d7faa714a29ccfc41	027b52f7e9c453c4db513e9a266b6915	029382fc50a5371c7578fbed50d05276	02c6164bb3acbb7a09c021689f272c1d	02fb4d45edee84cbdf683f6305cedab8	034818a2509951b61eb3afbbc33dede4	03bfa79239ab9d19da70507270999a30	03d3e7bb58e91428021aa104b81737ea	03e5cb38a914eb96483ca630ad1d9277	03f77cf83937ea870b744746c2fb021d	03fe08fa009afab0bb396144e44ab29f	040ebba19e4d72f865ecd3dcdb1e20d3	04594b884377a2bd2550c5d4d956e08b	0487c46a2d3915b718e21857f51cbedb	04a269150d25a2f124c2ea4598ff338d	04aed1229920f03c64ec6efd65afa969	04e01f6d0222f7ae0b5a4180096a7615	04ef5c5db90a704b2a0903ae64a444fc	04fae26c24c8c1aeb7379099ed4b1584	05163992b2900dfeb473198f34648669	051b172334bfa84fa54d8a9f529b5e77	05499b638ac0dd75492cc1937ce93aa6	0573a1a5857d294ca17802105e3cae29	0599a329b2d7c76a78d954fc5e1b7a51	05b7691209e78a8527945f6b5b0bcfb4	05e765450e243def9ae248d02c9cd2d6	05e8e382396ab145840c525c267d4d25	05f6086a8a2cee842fda8dc71868f23d	06019d17a3cd04f8295187a39b9f7cce	063213c83267364b5b0ccf512becab23	063f5f9ab89e7e225a8cc70d0820bce2	06461aee927ad826dda0a5fc6d39c846	0673b3adc860840b18a7e69687f15bdd	068d58684ec6f603e3d04c33b7e171f5	06afebce624262f62bdb4c2a797259a7	06e71388f4d2d3022774b14da2cdc5f7
TW-CO-002	55809.107000000105	16961.25099999976	76560.95050000027	8627.246499999996	9663.308499999968	173.5484999999994	409292.9765000004	16418.447500000053	62555.666999999514	0.0	524359.9160000029	12353.394499999917	174.880000000001	106489.08700000044	15448.517000000069	3133.1174999999885	0.0	116.57650000000106	428.72450000000185	8442.285999999915	2369.7534999999953	1824.4134999999985	3607.940500000006	11948.659500000018	18901.342500000468	359321.69950000045	6586832.931000005	119.6250000000026	118759.97149999932	3314.40149999997	3594.514499999988	13544.659999999869	641.3565000000043	2943.71749999992	5523.407999999924	0.0	5268.220000000077	173.5484999999994	273435.20950000087	5462.301500000012	350642.3859999984	16484.16650000011	877.1070000000012	9665.377	25712.430000000113	347.25599999999565	1121.1350000000225	7644.026999999858	46436.890500000685
TW-BT-001	141374.95949999872	37664.938499999815	51482.277999999336	42985.91949999989	944092.969000007	349.6905000000002	3351078.822000002	29538.13599999957	87325.66099999982	0.0	1853227.1370000176	15523.119000000012	478.94000000000153	362857.7714999967	96175.98150000106	250532.49649999948	155.86999999999995	124.14600000000229	284.8815000000025	0.0	472789.03449999867	3251.0625	2805.365499999972	43187.8839999998	66628.74800000062	662946.4705000065	14455486.70649999	0.0	233465.2419999998	4616.068500000005	22862.983999999946	50672.27449999962	312.82999999999987	20062.306499999468	14601.169999999724	124.08900000000038	35499.16800000019	0.0	2372542.798999997	118.70099999999927	13097.549499999866	132663.0249999966	9560.861000000019	2115.2490000000985	118281.70999999944	308.22599999999795	92128.32400000004	19666.44649999989	217705.2710000014
TW-CA-002	14916.992999999911	14055.225999999859	40373.08700000031	25469.693499999958	152745.3160000017	169.0150000000014	683127.3554999994	42557.015500000285	70843.11849999987	318.7839999999961	1289650.7654999993	2402.3865000000087	533.4559999999987	15387.949500000215	64000.528000001315	71596.66600000058	160.22999999999996	118.36799999999849	0.0	46700.78149999994	59566.675000000105	11126.493500000031	17320.229499999965	4411.83999999986	33166.307999999735	344032.1340000021	11625873.789499994	0.0	189562.70499999935	3421.1769999999988	3823.1594999999934	21990.875000000182	287.15200000000334	32952.890500000285	7291.0089999999955	167.07599999999383	11463.747499999932	0.0	479793.4984999977	4915.150499999996	7698.597499999896	224436.0770000016	2327.5139999999983	20910.459000000134	24716.14399999971	567.5790000000035	8186.071499999982	6505.568500000038	53163.10549999998
TW-BD-002	14629.024000000189	10759.992500000035	18470.759000000126	9440.004499999937	1046.646499999961	153.19649999999862	168915.88649999964	13232.76249999999	85113.099	0.0	912056.2305000059	2539.888499999889	418.14700000000124	82075.51000000008	23305.092500000384	673.2075000000095	0.0	170.27399999999946	121.21199999999996	14484.077999999563	4964.321000000017	2570.9770000000008	1060.1304999999975	12649.288499999919	13639.517499999964	652280.4965000026	8784307.874999993	174.8800000000074	82488.85349999952	3460.380500000088	3180.3159999999957	15093.346	259.735000000004	7034.085999999868	2223.0850000000464	218.59999999999854	1526.8374999999635	174.8800000000074	116098.82749999958	7346.430499999983	7175.302499999914	149278.24149999922	0.0	2495.554999999974	15716.834500000125	0.0	1816.8614999999786	4161.528499999988	41351.59100000003
TW-AV-001	66396.56349999968	15808.051999999936	23415.824499999668	24054.15300000005	521873.91650000453	193.99199999999752	791378.3744999991	22049.65350000027	110468.43949999935	0.0	1529084.0640000082	15252.787999999993	127.8225000000003	18149.4759999999	44781.32100000042	268861.0319999985	105.63299999999936	57.77999999999867	172.53599999999992	153623.6829999994	8964.913500000072	1521.1910000000134	1921.4410000000025	12748.761000000086	32850.593499999806	647422.4150000011	11299178.76999999	0.0	106424.83950000034	3755.7780000000344	1195.905000000008	11811.510500000339	542.6069999999961	14015.449499999773	2317.4409999999093	320.24899999999786	14239.257499999983	194.9099999999916	5948.360500000006	481.6630000000003	5966.1549999999925	308792.09050000104	0.0	76097.51649999883	30303.672000000497	431.64	12215.63850000011	8397.072999999999	62323.05150000003
TW-BS-002	110856.66200000033	19944.851999999843	45154.59999999993	18580.12799999992	208126.62950000053	191.31199999999646	17410.27350000007	12393.461999999972	72286.89599999941	0.0	1599375.0505000006	10712.73900000004	405.90899999999823	261129.51699999874	29446.039999999517	113578.6875000008	0.0	54.424999999998825	0.0	40262.29200000053	94353.83099999996	2858.9144999999958	6774.2915000000485	19114.435000000103	23627.031999999766	354876.5989999986	0.0	0.0	5226.9870000000265	4546.522499999894	3193.6699999999987	12747.28200000021	476.4374999999991	6982.400000000052	5927.3639999998995	177.91449999999938	16998.40050000001	0.0	0.0	194.49000000000078	17648.876000000033	332396.6759999971	1765.359499999958	6194.361999999723	32758.596000000103	234.24250000000785	19692.39649999993	7624.648499999909	128573.87000000068
TW-BJ-001	54532.785999999665	10968.425999999885	10543.715499999931	2033.1124999999909	125.63749999999727	242.210999999997	297533.29150000034	8691.360500000057	29217.39099999978	230.20100000000699	403672.1999999979	4357.6255000001265	255.7624999999993	12397.359499999908	170757.1035	144.27599999999902	156.0065000000007	98.36999999999935	132.7359999999984	91997.76800000023	679.7370000000002	522.0765000000013	4506.2129999999515	2167.4579999998928	16743.204000000267	180229.44050000055	4147484.922499992	141.5700000000026	148746.12849999953	4319.759499999958	6159.984499999984	4231.700999999945	291.0410000000016	7285.140500000008	3327.1890000000594	0.0	3539.8289999998638	142.93500000000634	0.0	1034.3274999999944	1146.270000000011	39151.7744999998	278.5279999999966	1778.593499999982	49064.25249999961	296.69900000000524	8994.416999999921	3170.2389999999127	23290.22699999979
TW-CC-002	6106.998999999889	1521.1770000000552	18521.774000000038	4845.937000000028	8067.526500000114	125.0580000000022	616461.3350000007	9514.461499999965	33324.33599999994	172.53599999999363	588030.9545000142	5673.6419999999325	186.40500000000043	8571.490500000029	19214.693499999943	52.46400000000094	0.0	104.02500000000056	193.9309999999994	11757.061000000176	4953.679500000027	561.6714999999975	6472.003500000044	8465.98350000006	7422.340499999795	591624.3820000018	4743186.045000002	0.0	74347.87150000004	6536.9864999999045	10106.90649999998	5144.976000000099	270.1689999999995	5405.084500000099	1862.0799999999938	227.5519999999944	2819.55199999997	61.23600000000054	433394.4615	358.89650000000097	9859.065000000104	81263.88699999925	365.24149999999673	21858.145000000182	11253.243500000013	287.71349999999853	927.9825000000606	4870.454999999995	32728.873999999454
TW-BU-002	55708.81949999991	14066.846999999963	42652.070999999996	2993.4049999999675	11224.139999999968	296.66849999999766	9913.174500000032	7198.602999999997	47512.46700000028	177.0994999999984	658717.4574999999	8476.633999999896	333.44699999999904	7199.827499999754	19928.41400000002	1391.3760000000077	108.65250000000023	144.96999999999997	380.2139999999975	14773.495499999899	5932.811999999986	519.4529999999968	5098.113000000022	3592.488000000042	14427.071999999229	429952.8059999992	5607841.539500002	124.94400000000445	398271.36150000227	7538.367000000047	3782.092999999999	12255.458000000004	220.59749999999644	3129.9350000000913	3817.139000000001	209.5679999999993	7726.0404999997945	124.94400000000445	18524.088999999996	110.39299999999928	6815.9855000000925	51793.053499999754	258.56699999998256	9051.291499999792	25607.571500000013	165.60399999999746	11425.743499999844	4481.766999999858	34280.035999999964
TW-BO-002	58544.19299999957	11516.44550000014	48116.87000000015	9767.20550000006	298.78749999999735	174.10499999999672	1019047.8964999986	12052.803000000007	71638.35500000045	136.8359999999967	814301.0575000106	3573.2420000001234	419.3140000000008	14504.55749999994	19508.767000000003	321.1280000000037	0.0	151.926999999999	168.6299999999989	26916.222499999785	5008.60199999999	227.44799999999645	3726.4764999999957	23205.889000000177	7948.972000000441	667605.5919999944	7915474.832500004	113.04800000000624	85803.6840000003	4485.100999999976	2533.9465000000173	12096.510000000244	134.43899999999908	3598.71750000009	3197.725499999995	237.50549999999495	9592.98649999983	158.34000000000958	8602.983000000022	1864.5195	9945.877999999875	154961.84800000032	259.6579999999952	16176.323500000075	23224.067999999992	173.46900000000102	3308.4125000000313	3521.408000000005	63511.05650000001
