,G1P,G2P,G3P,G1R,G2R,G3R
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acids and conjugates; Long-chain fatty acids,0.029883311551044307,0.028904259700839378,0.026890586338014052,0.02864932263187504,0.026042029913643485,0.028249589119160395
Organic compounds; Benzenoids; Benzene and substituted derivatives; Benzoic acids and derivatives; Acylaminobenzoic acid and derivatives,0.0009101560011408893,0.0009045324916125537,2.55558414740736e-05,0.0007326472358968508,0.0021101458540102574,1.3871651498074022e-05
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; 1-acyl-sn-glycero-3-phosphocholines,0.4140054007567909,0.45221890628782213,0.15722934219309523,0.4207346915962086,0.44656175905807355,0.16974773933950496
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphates; 1-acylglycerol-3-phosphates,0.0020886737506928318,0.0021552134639525244,0.0009581011516042408,0.0017752720353523932,0.00313816962988522,0.0007412979725090595
Organic compounds; Organoheterocyclic compounds; Imidazopyrimidines; Purines and purine derivatives; Xanthines,0.01280878375087709,0.02033231954941943,0.017853792076092317,0.012881373044065298,0.016124723906577577,0.016776615981398364
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphocholines; Monoalkylglycerophosphocholines,0.011907199516310578,0.010601910918778322,0.006583327918542823,0.010101206414607914,0.011871247348238939,0.007061840618133737
Organic compounds; Organoheterocyclic compounds; Indoles and derivatives; Indolyl carboxylic acids and derivatives; Indole-3-acetic acid derivatives,0.00013686119392734784,3.5176801142333464e-06,0.0012215583103526745,6.211169753958343e-05,2.850732223950277e-06,0.0007987302470118222
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty amides; Fatty amides,0.004309959832111137,0.0013939876826742513,0.009930896208984255,0.005210403027867756,0.0012681907411258191,0.011127016845919064
Organic compounds; Organic acids and derivatives; Organic carbonic acids and derivatives; unclassified; Organic carbonic acids and derivatives,1.6097055765709716e-05,2.0060346085268216e-05,8.323376267868307e-07,2.418233879097659e-05,0.0002238040820639189,6.729381524999437e-07
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; 1-acyl-sn-glycero-3-phosphoethanolamines,0.0200748432031806,0.021646011426269027,0.02142850090291883,0.019604775708941216,0.023556212873399537,0.02232106815560527
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Acyl carnitines,0.022206103534125363,0.018856046810381506,0.015416845196438928,0.021185003593322076,0.01773600799472989,0.01838696655022534
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty amides; N-acyl amines,0.008067869301277711,0.00730661597465341,0.009135602688674584,0.010808579139758936,0.008082889998174346,0.013098958820333457
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Dipeptides",0.004148287017109756,0.004034613204310364,0.005079811711485273,0.0032011611097512984,0.0041115054773984035,0.0055635254124932355
Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Triterpenoids; Triterpenoids,0.0015899156071404665,0.0010749572142377422,0.0022399136046679265,0.0013076372531132421,0.0011263708534299645,0.0022872157939690346
Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Glycerophosphoethanolamines; Glycerophosphoethanolamines,0.0014662520256977462,0.001489477326028431,0.0009198445701929318,0.0013485815120316948,0.001348206593058886,0.0008508744530101983
Organic compounds; Organoheterocyclic compounds; Diazanaphthalenes; Benzodiazines; Quinazolinamines,0.0012603220393765644,0.0009825176723157023,0.001757676751913506,0.0011297294669249556,0.000843325583884789,0.0016451311873364428
"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Amino acids, peptides, and analogues; Oligopeptides",0.0013133372007069373,0.0012388322424847855,0.0018044931113856222,0.001124067404260092,0.0015880552864788644,0.0020552033616491362
Organic compounds; Lipids and lipid-like molecules; Fatty Acyls; Fatty acid esters; Fatty acid methyl esters,0.007872863897205824,0.00837180162092394,0.005298846142364348,0.00813069668883896,0.006003190346040257,0.005481183418777465
