	faith_pd
TW-CO-002	162.7182230240017
TW-BT-001	161.8622569757391
TW-CA-002	164.48657458701598
TW-BD-002	161.60114587998817
TW-AV-001	163.61802734329677
TW-BS-002	162.3816433541631
TW-BJ-001	160.77079892305056
TW-CC-002	162.4200745611996
TW-BU-002	162.45671723828434
TW-BO-002	161.33184550611094
TW-BK-001	162.45843917870988
TW-AW-001	158.390812962322
TW-AX-002	161.64020682930393
TW-BG-001	160.22457631906764
TW-CH-002	161.99293498016442
TW-AW-002	163.0113061475053
TW-BZ-002	163.44724626640823
TW-BD-001	161.79836637879998
TW-AG-001	131.23949339640566
TW-CV-001	161.72919297644188
TW-CK-001	161.17872770658016
TW-CU-002	163.07126655301101
TW-AO-001	162.94306966016038
TW-AE-002	162.4409690994839
TW-BQ-001	164.06502642746912
TW-AF-001	161.92868161566642
TW-CF-001	162.96650875630712
TW-CT-001	162.01029772417183
TW-BM-002	162.4218985993735
TW-DA-002	160.75124423470595
TW-DP-002	158.34662855395925
TW-BG-002	159.30558827680085
TW-BO-001	163.032630616599
TW-CE-001	163.58394362465202
TW-CN-002	162.2926167244802
TW-EE-002	157.24885699123024
TW-CW-002	160.8704561743353
TW-CY-002	163.94028126489445
TW-CE-002	162.44038921841806
TW-BN-002	160.54119390913166
TW-CO-001	164.28263094293123
TW-CZ-001	160.32513731626602
TW-AT-002	160.0009080769663
TW-AP-001	163.7039775945018
TW-DZ-002	159.18179830133678
TW-AI-001	159.61167036512563
TW-DX-001	158.13341551600678
TW-DJ-001	161.25487877217398
TW-DQ-001	160.9949013936814
TW-AZ-001	163.0939248091611
TW-DU-002	162.04810278984178
TW-DK-001	161.86003489708753
TW-BZ-001	163.00274048225074
TW-AV-002	162.45326469405288
TW-CQ-001	164.04683057765186
TW-AN-001	163.82636423377875
TW-EH-002	159.71747751499785
TW-CG-001	150.74702074240253
TW-BE-002	162.14594641713825
TW-EE-001	159.96468944354513
TW-CN-001	165.21057087096608
TW-BN-001	151.3388722075336
TW-CF-002	164.09228136132793
TW-CQ-002	161.14014133155538
TW-BT-002	155.31991528493944
TW-DR-001	160.97853288129363
TW-DA-001	161.32389348245326
TW-DU-001	160.5184851088398
TW-AR-001	156.55459165895093
TW-CB-002	161.15341017356204
TW-BV-001	160.73345979774717
TW-AK-001	161.23625257216315
TW-AY-002	161.64014909193847
TW-AX-001	159.75621667623403
TW-AG-002	156.8195828368875
TW-AU-001	159.5897848237239
TW-DG-002	162.07318057092726
TW-BE-001	162.69039136873164
TW-DS-001	159.21880628890636
TW-BJ-002	159.54438190927414
TW-AI-002	160.0145224801866
TW-AU-002	146.26992417677252
TW-AN-002	150.96214026607575
TW-BL-001	162.39506031517934
TW-CP-002	163.65181762989764
TW-BA-002	161.4210443929491
TW-AP-002	164.27588861701688
TW-BS-001	162.2041249320514
TW-AA-002	159.0030187304335
TW-AY-001	162.74094667642822
TW-BL-002	161.9812962199448
TW-DY-002	159.93058308069055
TW-DM-002	160.9046219057995
TW-AF-002	162.81395867836954
TW-DB-001	159.0158444629953
TW-AQ-001	154.12796063732247
TW-CS-002	160.948792308823
TW-BI-002	157.2475714382399
TW-CA-001	160.52298374730927
TW-BQ-002	161.14544101205877
TW-BA-001	160.85766301921302
TW-AM-002	162.2446809771999
TW-AT-001	159.82956701490994
TW-AM-001	159.9283511793708
TW-DG-001	162.07662652897392
TW-CB-001	161.18874791430676
TW-CC-001	164.3304512335915
TW-BU-001	149.16319948406283
TW-CW-001	161.44977402301708
TW-DQ-002	158.47210283521673
TW-DZ-001	160.7945708744753
TW-DB-002	163.858696705812
TW-AZ-002	161.63988457959817
TW-AK-002	157.6103717816714
TW-CI-001	155.58305553427664
CIR57-001	158.3342941488761
CIR42-002	158.86390179419493
CIR55-003	160.69510866937003
CIR61-001	160.42730900626793
CIR32-002	160.49633788904038
CIR51-001	160.51722327915073
CIR5-006	160.1505958383603
CIR55-004	159.6701554179169
CIR21-002	159.22819966220084
CIR53-001	157.31176932245697
CIR51-004	158.92306766809554
CIR32-001	158.6424607400321
CIR60-003	161.15174909466356
CIR6-001	158.46098402526798
CIR54-002	160.55619616167178
CIR52-003	159.3946542750694
CIR54-001	161.01877366068035
CIR16-001	159.48543418450595
CIR58-002	160.46796630527896
CIR16-002	160.34800626616982
CIR23-001	160.28084494766836
CIR58-001	158.53093786780508
CIR7-002	158.76342393762582
CIR21-001	159.6721737262985
CIR41-002	160.56823105577828
CIR26-001	157.921705029977
CIR22-002	160.50284926393124
CIR52-001	160.21179592948954
CIR53-002	157.73977826380622
CIR60-001	161.34010960435853
CIR60-002	161.3271891116904
CIR51-003	157.8584466773435
CIR19-002	159.96631875797306
CIR18-001	159.34709223037055
CIR4-002	159.78780438247682
CIR57-002	159.00537104910592
CIR42-001	159.76179102601293
CIR61-002	156.99674856792132
CIR20-001	161.51761529409092
CIR20-002	160.91672508188145
CIR51-005	111.79954333781137
CIR4-003	157.48742692008267
CIR18-002	158.4975639903642
CIR41-001	157.53143995933874
CIR63-002	158.5625313508823
CIR19-001	160.6033641297936
CIR5-001	158.8843495788078
CIR55-002	157.37145754977922
CIR26-002	160.53319203072806
CIR5-002	160.51831379256402
CIR55-001	157.16446754523145
CIR7-001	160.1360472574633
