#SampleID,faith_pd,groups
TW-CO-002,162.7182230240017,G1R
TW-BT-001,161.8622569757391,G2P
TW-CA-002,164.48657458701598,G1R
TW-BD-002,161.60114587998817,G2P
TW-AV-001,163.61802734329675,G2P
TW-BS-002,162.3816433541631,G1P
TW-BJ-001,160.77079892305056,G1R
TW-CC-002,162.42007456119958,G1R
TW-BU-002,162.45671723828434,G1P
TW-BO-002,161.33184550611094,G2R
TW-BK-001,162.45843917870988,G1P
TW-AW-001,158.390812962322,G1P
TW-AX-002,161.6402068293039,G1R
TW-BG-001,160.22457631906764,G1P
TW-CH-002,161.99293498016442,G1R
TW-AW-002,163.0113061475053,G1R
TW-BZ-002,163.44724626640826,G1P
TW-BD-001,161.79836637879998,G2R
TW-AG-001,131.23949339640566,G1R
TW-CV-001,161.72919297644188,G1P
TW-CK-001,161.17872770658016,G2P
TW-CU-002,163.071266553011,G2P
TW-AO-001,162.94306966016038,G1P
TW-AE-002,162.4409690994839,G2P
TW-BQ-001,164.06502642746912,G1P
TW-AF-001,161.92868161566642,G1P
TW-CF-001,162.96650875630712,G2P
TW-CT-001,162.01029772417183,G1P
TW-BM-002,162.4218985993735,G1P
TW-DA-002,160.75124423470595,G2P
TW-DP-002,158.34662855395925,G1P
TW-BG-002,159.30558827680085,G1R
TW-BO-001,163.032630616599,G2P
TW-CE-001,163.58394362465202,G2P
TW-CN-002,162.29261672448018,G2P
TW-EE-002,157.24885699123027,G1R
TW-CW-002,160.87045617433532,G1R
TW-CY-002,163.94028126489442,G2R
TW-CE-002,162.44038921841806,G2R
TW-BN-002,160.54119390913166,G1R
TW-CO-001,164.28263094293126,G1P
TW-CZ-001,160.32513731626602,G1P
TW-AT-002,160.0009080769663,G1R
TW-AP-001,163.70397759450182,G1R
TW-DZ-002,159.18179830133678,G1R
TW-AI-001,159.6116703651256,G1P
TW-DX-001,158.13341551600678,G1P
TW-DJ-001,161.25487877217398,G1P
TW-DQ-001,160.9949013936814,G1P
TW-AZ-001,163.09392480916108,G1R
TW-DU-002,162.04810278984178,G1P
TW-DK-001,161.86003489708753,G1R
TW-BZ-001,163.00274048225074,G1R
TW-AV-002,162.45326469405288,G2R
TW-CQ-001,164.0468305776519,G2P
TW-AN-001,163.82636423377875,G1P
TW-EH-002,159.71747751499785,G1P
TW-CG-001,150.74702074240253,G1P
TW-BE-002,162.14594641713825,G1P
TW-EE-001,159.96468944354513,G1P
TW-CN-001,165.21057087096608,G2R
TW-BN-001,151.3388722075336,G1P
TW-CF-002,164.0922813613279,G2R
TW-CQ-002,161.14014133155536,G2R
TW-BT-002,155.31991528493944,G2R
TW-DR-001,160.97853288129363,G1P
TW-DA-001,161.32389348245326,G2R
TW-DU-001,160.51848510883983,G1R
TW-AR-001,156.5545916589509,G1P
TW-CB-002,161.15341017356204,G1P
TW-BV-001,160.73345979774714,G1P
TW-AK-001,161.23625257216315,G2P
TW-AY-002,161.64014909193847,G1R
TW-AX-001,159.75621667623403,G1P
TW-AG-002,156.8195828368875,G1P
TW-AU-001,159.5897848237239,G1P
TW-DG-002,162.07318057092726,G1R
TW-BE-001,162.69039136873164,G1R
TW-DS-001,159.2188062889064,G1R
TW-BJ-002,159.5443819092741,G1P
TW-AI-002,160.0145224801866,G1R
TW-AU-002,146.26992417677255,G1R
TW-AN-002,150.96214026607575,G1R
TW-BL-001,162.39506031517934,G2R
TW-CP-002,163.65181762989764,G1R
TW-BA-002,161.42104439294909,G2P
TW-AP-002,164.27588861701688,G1P
TW-BS-001,162.2041249320514,G1R
TW-AA-002,159.0030187304335,G2R
TW-AY-001,162.74094667642822,G1P
TW-BL-002,161.98129621994482,G2P
TW-DY-002,159.93058308069055,G1P
TW-DM-002,160.9046219057995,G1P
TW-AF-002,162.81395867836952,G1R
TW-DB-001,159.01584446299532,G1P
TW-AQ-001,154.12796063732247,G2P
TW-CS-002,160.948792308823,G1P
TW-BI-002,157.2475714382399,G1R
TW-CA-001,160.5229837473093,G1P
TW-BQ-002,161.14544101205877,G1R
TW-BA-001,160.85766301921302,G2R
TW-AM-002,162.2446809771999,G1R
TW-AT-001,159.82956701490994,G1P
TW-AM-001,159.9283511793708,G1P
TW-DG-001,162.0766265289739,G1P
TW-CB-001,161.18874791430676,G1R
TW-CC-001,164.3304512335915,G1P
TW-BU-001,149.16319948406283,G1R
TW-CW-001,161.4497740230171,G1P
TW-DQ-002,158.4721028352167,G1R
TW-DZ-001,160.7945708744753,G1P
TW-DB-002,163.858696705812,G1R
TW-AZ-002,161.63988457959815,G1P
TW-AK-002,157.6103717816714,G2R
TW-CI-001,155.5830555342766,G1R
CIR57-001,158.3342941488761,G3P
CIR42-002,158.8639017941949,G3R
CIR55-003,160.69510866937003,G3R
CIR61-001,160.4273090062679,G3P
CIR32-002,160.49633788904038,G3R
CIR51-001,160.51722327915073,G3P
CIR5-006,160.15059583836032,G3R
CIR55-004,159.6701554179169,G3R
CIR21-002,159.22819966220086,G3R
CIR53-001,157.31176932245697,G3P
CIR51-004,158.92306766809554,G3R
CIR32-001,158.6424607400321,G3P
CIR60-003,161.15174909466356,G3R
CIR6-001,158.46098402526798,G3P
CIR54-002,160.55619616167178,G3R
CIR52-003,159.3946542750694,G3R
CIR54-001,161.01877366068038,G3P
CIR16-001,159.48543418450598,G3P
CIR58-002,160.46796630527896,G3R
CIR16-002,160.34800626616982,G3R
CIR23-001,160.28084494766838,G3P
CIR58-001,158.5309378678051,G3P
CIR7-002,158.76342393762582,G3R
CIR21-001,159.6721737262985,G3P
CIR41-002,160.56823105577828,G3R
CIR26-001,157.921705029977,G3P
CIR22-002,160.50284926393127,G3R
CIR52-001,160.21179592948954,G3P
CIR53-002,157.73977826380622,G3R
CIR60-001,161.34010960435853,G3P
CIR60-002,161.32718911169042,G3R
CIR51-003,157.8584466773435,G3R
CIR19-002,159.96631875797306,G3R
CIR18-001,159.34709223037055,G3P
CIR4-002,159.7878043824768,G3R
CIR57-002,159.00537104910592,G3R
CIR42-001,159.7617910260129,G3P
CIR61-002,156.99674856792132,G3R
CIR20-001,161.5176152940909,G3P
CIR20-002,160.91672508188145,G3R
CIR51-005,111.79954333781136,G3R
CIR4-003,157.4874269200827,G3R
CIR18-002,158.4975639903642,G3R
CIR41-001,157.53143995933874,G3P
CIR63-002,158.56253135088232,G3R
CIR19-001,160.6033641297936,G3P
CIR5-001,158.88434957880781,G3P
CIR55-002,157.37145754977922,G3R
CIR26-002,160.53319203072806,G3R
CIR5-002,160.51831379256404,G3R
CIR55-001,157.16446754523145,G3P
CIR7-001,160.13604725746333,G3P
