#SampleID,observed_otus,groups
TW-CO-002,1477,G1R
TW-BT-001,1463,G2P
TW-CA-002,1481,G1R
TW-BD-002,1476,G2P
TW-AV-001,1491,G2P
TW-BS-002,1463,G1P
TW-BJ-001,1466,G1R
TW-CC-002,1468,G1R
TW-BU-002,1475,G1P
TW-BO-002,1464,G2R
TW-BK-001,1479,G1P
TW-AW-001,1432,G1P
TW-AX-002,1464,G1R
TW-BG-001,1458,G1P
TW-CH-002,1462,G1R
TW-AW-002,1473,G1R
TW-BZ-002,1473,G1P
TW-BD-001,1468,G2R
TW-AG-001,1127,G1R
TW-CV-001,1462,G1P
TW-CK-001,1461,G2P
TW-CU-002,1485,G2P
TW-AO-001,1479,G1P
TW-AE-002,1470,G2P
TW-BQ-001,1486,G1P
TW-AF-001,1467,G1P
TW-CF-001,1476,G2P
TW-CT-001,1469,G1P
TW-BM-002,1462,G1P
TW-DA-002,1456,G2P
TW-DP-002,1435,G1P
TW-BG-002,1446,G1R
TW-BO-001,1481,G2P
TW-CE-001,1483,G2P
TW-CN-002,1471,G2P
TW-EE-002,1421,G1R
TW-CW-002,1449,G1R
TW-CY-002,1475,G2R
TW-CE-002,1473,G2R
TW-BN-002,1453,G1R
TW-CO-001,1492,G1P
TW-CZ-001,1453,G1P
TW-AT-002,1457,G1R
TW-AP-001,1487,G1R
TW-DZ-002,1440,G1R
TW-AI-001,1451,G1P
TW-DX-001,1435,G1P
TW-DJ-001,1452,G1P
TW-DQ-001,1450,G1P
TW-AZ-001,1469,G1R
TW-DU-002,1465,G1P
TW-DK-001,1459,G1R
TW-BZ-001,1477,G1R
TW-AV-002,1469,G2R
TW-CQ-001,1478,G2P
TW-AN-001,1483,G1P
TW-EH-002,1435,G1P
TW-CG-001,1347,G1P
TW-BE-002,1468,G1P
TW-EE-001,1444,G1P
TW-CN-001,1491,G2R
TW-BN-001,1368,G1P
TW-CF-002,1489,G2R
TW-CQ-002,1456,G2R
TW-BT-002,1387,G2R
TW-DR-001,1452,G1P
TW-DA-001,1453,G2R
TW-DU-001,1458,G1R
TW-AR-001,1410,G1P
TW-CB-002,1463,G1P
TW-BV-001,1464,G1P
TW-AK-001,1454,G2P
TW-AY-002,1462,G1R
TW-AX-001,1456,G1P
TW-AG-002,1419,G1P
TW-AU-001,1452,G1P
TW-DG-002,1469,G1R
TW-BE-001,1471,G1R
TW-DS-001,1442,G1R
TW-BJ-002,1449,G1P
TW-AI-002,1448,G1R
TW-AU-002,1307,G1R
TW-AN-002,1349,G1R
TW-BL-001,1482,G2R
TW-CP-002,1484,G1R
TW-BA-002,1465,G2P
TW-AP-002,1478,G1P
TW-BS-001,1454,G1R
TW-AA-002,1433,G2R
TW-AY-001,1471,G1P
TW-BL-002,1471,G2P
TW-DY-002,1447,G1P
TW-DM-002,1463,G1P
TW-AF-002,1476,G1R
TW-DB-001,1432,G1P
TW-AQ-001,1390,G2P
TW-CS-002,1459,G1P
TW-BI-002,1427,G1R
TW-CA-001,1463,G1P
TW-BQ-002,1467,G1R
TW-BA-001,1458,G2R
TW-AM-002,1478,G1R
TW-AT-001,1440,G1P
TW-AM-001,1450,G1P
TW-DG-001,1465,G1P
TW-CB-001,1463,G1R
TW-CC-001,1489,G1P
TW-BU-001,1338,G1R
TW-CW-001,1460,G1P
TW-DQ-002,1429,G1R
TW-DZ-001,1451,G1P
TW-DB-002,1483,G1R
TW-AZ-002,1464,G1P
TW-AK-002,1414,G2R
TW-CI-001,1400,G1R
CIR57-001,1424,G3P
CIR42-002,1430,G3R
CIR55-003,1446,G3R
CIR61-001,1444,G3P
CIR32-002,1441,G3R
CIR51-001,1446,G3P
CIR5-006,1452,G3R
CIR55-004,1438,G3R
CIR21-002,1433,G3R
CIR53-001,1429,G3P
CIR51-004,1440,G3R
CIR32-001,1450,G3P
CIR60-003,1445,G3R
CIR6-001,1425,G3P
CIR54-002,1445,G3R
CIR52-003,1445,G3R
CIR54-001,1447,G3P
CIR16-001,1429,G3P
CIR58-002,1443,G3R
CIR16-002,1447,G3R
CIR23-001,1434,G3P
CIR58-001,1422,G3P
CIR7-002,1429,G3R
CIR21-001,1440,G3P
CIR41-002,1441,G3R
CIR26-001,1427,G3P
CIR22-002,1448,G3R
CIR52-001,1449,G3P
CIR53-002,1429,G3R
CIR60-001,1457,G3P
CIR60-002,1454,G3R
CIR51-003,1419,G3R
CIR19-002,1451,G3R
CIR18-001,1442,G3P
CIR4-002,1449,G3R
CIR57-002,1437,G3R
CIR42-001,1443,G3P
CIR61-002,1421,G3R
CIR20-001,1452,G3P
CIR20-002,1459,G3R
CIR51-005,910,G3R
CIR4-003,1429,G3R
CIR18-002,1436,G3R
CIR41-001,1426,G3P
CIR63-002,1431,G3R
CIR19-001,1455,G3P
CIR5-001,1442,G3P
CIR55-002,1419,G3R
CIR26-002,1439,G3R
CIR5-002,1451,G3R
CIR55-001,1429,G3P
CIR7-001,1442,G3P
