	shannon
TW-CO-002	6.701779432017331
TW-BT-001	7.259942047672414
TW-CA-002	7.03780461270711
TW-BD-002	6.48681430727102
TW-AV-001	6.693658274118519
TW-BS-002	6.921261991658055
TW-BJ-001	6.675896466785114
TW-CC-002	6.422106688829235
TW-BU-002	6.6199206046425925
TW-BO-002	6.481497168550216
TW-BK-001	6.655211402174904
TW-AW-001	6.426345465219214
TW-AX-002	6.39817562787404
TW-BG-001	6.521822196883966
TW-CH-002	6.7106278084483995
TW-AW-002	6.378820689037598
TW-BZ-002	6.631939105565897
TW-BD-001	6.255492546877024
TW-AG-001	5.381902218040337
TW-CV-001	6.466581156531083
TW-CK-001	6.750740808037999
TW-CU-002	6.514147455861607
TW-AO-001	6.522465088617814
TW-AE-002	6.1329831500806495
TW-BQ-001	6.589386069436071
TW-AF-001	5.959068075706076
TW-CF-001	6.598986707950381
TW-CT-001	6.47398325003392
TW-BM-002	6.81575988475275
TW-DA-002	6.1046054102096905
TW-DP-002	6.696745030989665
TW-BG-002	6.6440751577589205
TW-BO-001	6.40598735416498
TW-CE-001	6.6052670502773125
TW-CN-002	6.656283584429714
TW-EE-002	6.597253191675534
TW-CW-002	6.429075800725931
TW-CY-002	6.36249994524993
TW-CE-002	6.820766027458538
TW-BN-002	6.554050390766672
TW-CO-001	6.78868983226331
TW-CZ-001	6.732538389108461
TW-AT-002	6.724133178688126
TW-AP-001	6.402884247492711
TW-DZ-002	6.893635138377433
TW-AI-001	6.383910042205889
TW-DX-001	6.555248174354988
TW-DJ-001	7.083584009683568
TW-DQ-001	6.870081386560626
TW-AZ-001	6.962804011123589
TW-DU-002	6.894146815612127
TW-DK-001	6.822490075035881
TW-BZ-001	6.709505242512125
TW-AV-002	6.620045180386612
TW-CQ-001	6.482574084946107
TW-AN-001	6.798581939223427
TW-EH-002	6.630038897817472
TW-CG-001	6.220666109954803
TW-BE-002	6.6445255700498596
TW-EE-001	6.956813622705028
TW-CN-001	6.362855124607321
TW-BN-001	6.197454873033007
TW-CF-002	6.658766581157733
TW-CQ-002	6.715084769308751
TW-BT-002	6.274228776942312
TW-DR-001	6.919978587171371
TW-DA-001	6.65164044687518
TW-DU-001	6.8220634656605235
TW-AR-001	5.751623222699162
TW-CB-002	6.744529991915112
TW-BV-001	6.208460652010537
TW-AK-001	6.487086384558239
TW-AY-002	6.711554417307261
TW-AX-001	6.459603782889867
TW-AG-002	6.255408344365054
TW-AU-001	6.676545647020182
TW-DG-002	6.590328229707367
TW-BE-001	6.590098593379499
TW-DS-001	6.791060948759568
TW-BJ-002	6.712669688294684
TW-AI-002	6.303277040372128
TW-AU-002	6.232582176114332
TW-AN-002	6.304006861880509
TW-BL-001	6.73463429069256
TW-CP-002	6.81165594521459
TW-BA-002	6.522600988382114
TW-AP-002	6.542365954751129
TW-BS-001	6.728853161253177
TW-AA-002	6.460538857838422
TW-AY-001	6.566786897567217
TW-BL-002	6.681855654657397
TW-DY-002	6.7956032385277165
TW-DM-002	7.072263573875412
TW-AF-002	6.0834110309946565
TW-DB-001	6.366696585580774
TW-AQ-001	6.407168660194455
TW-CS-002	6.826443392634264
TW-BI-002	6.471569741558748
TW-CA-001	6.872057036012548
TW-BQ-002	6.679115503754188
TW-BA-001	6.41186078273464
TW-AM-002	6.399251572291534
TW-AT-001	6.364238457749866
TW-AM-001	6.540508867745976
TW-DG-001	6.423199183683239
TW-CB-001	6.804492411268406
TW-CC-001	6.6147903521125935
TW-BU-001	5.982950736596662
TW-CW-001	6.470497449460386
TW-DQ-002	6.754006917337329
TW-DZ-001	6.731398817014195
TW-DB-002	6.275218491348585
TW-AZ-002	7.2379770996843895
TW-AK-002	6.533264589507279
TW-CI-001	6.062667077596902
CIR57-001	6.466944288558339
CIR42-002	6.317635406378382
CIR55-003	7.106804124763101
CIR61-001	6.80060329218605
CIR32-002	6.449713312968836
CIR51-001	6.83888995148729
CIR5-006	6.6291352529428025
CIR55-004	7.347744736814693
CIR21-002	6.657885939684293
CIR53-001	6.92486121316916
CIR51-004	7.169748934465103
CIR32-001	6.908957692541701
CIR60-003	6.698460991330265
CIR6-001	6.664555797747211
CIR54-002	6.8292043543453484
CIR52-003	6.5316083293786775
CIR54-001	6.678749439701136
CIR16-001	7.142535657711834
CIR58-002	6.6304268029524405
CIR16-002	6.843882785059588
CIR23-001	6.862823271207188
CIR58-001	6.606951057296298
CIR7-002	6.978944737131253
CIR21-001	7.049817173350495
CIR41-002	6.429202596865224
CIR26-001	7.1752170616336635
CIR22-002	7.104347858495533
CIR52-001	6.6708601005299855
CIR53-002	6.671005732182124
CIR60-001	6.606257904848431
CIR60-002	6.779504561083351
CIR51-003	6.581686176252782
CIR19-002	6.883001773432239
CIR18-001	7.044994250629548
CIR4-002	6.787411247730962
CIR57-002	6.528701558572891
CIR42-001	6.861217437421967
CIR61-002	6.736338519889384
CIR20-001	6.4672983118657825
CIR20-002	6.652703524473186
CIR51-005	4.467678534779654
CIR4-003	7.129317648268947
CIR18-002	7.1128518896813
CIR41-001	6.809887193964975
CIR63-002	6.619449920189315
CIR19-001	6.837843552293671
CIR5-001	7.171326931853236
CIR55-002	6.799749650505525
CIR26-002	6.69123387759678
CIR5-002	6.856324117076833
CIR55-001	6.507878116746753
CIR7-001	6.566298952623164
