#SampleID,shannon,groups
TW-CO-002,6.701779432017331,G1R
TW-BT-001,7.259942047672413,G2P
TW-CA-002,7.03780461270711,G1R
TW-BD-002,6.486814307271019,G2P
TW-AV-001,6.693658274118519,G2P
TW-BS-002,6.921261991658055,G1P
TW-BJ-001,6.6758964667851135,G1R
TW-CC-002,6.422106688829235,G1R
TW-BU-002,6.6199206046425925,G1P
TW-BO-002,6.481497168550216,G2R
TW-BK-001,6.655211402174904,G1P
TW-AW-001,6.426345465219214,G1P
TW-AX-002,6.398175627874041,G1R
TW-BG-001,6.521822196883965,G1P
TW-CH-002,6.7106278084484,G1R
TW-AW-002,6.378820689037597,G1R
TW-BZ-002,6.631939105565897,G1P
TW-BD-001,6.255492546877023,G2R
TW-AG-001,5.381902218040336,G1R
TW-CV-001,6.466581156531082,G1P
TW-CK-001,6.750740808037999,G2P
TW-CU-002,6.5141474558616075,G2P
TW-AO-001,6.522465088617814,G1P
TW-AE-002,6.1329831500806495,G2P
TW-BQ-001,6.589386069436071,G1P
TW-AF-001,5.959068075706076,G1P
TW-CF-001,6.598986707950381,G2P
TW-CT-001,6.473983250033919,G1P
TW-BM-002,6.81575988475275,G1P
TW-DA-002,6.1046054102096905,G2P
TW-DP-002,6.696745030989665,G1P
TW-BG-002,6.6440751577589205,G1R
TW-BO-001,6.4059873541649806,G2P
TW-CE-001,6.6052670502773125,G2P
TW-CN-002,6.656283584429714,G2P
TW-EE-002,6.597253191675534,G1R
TW-CW-002,6.429075800725932,G1R
TW-CY-002,6.36249994524993,G2R
TW-CE-002,6.820766027458537,G2R
TW-BN-002,6.554050390766673,G1R
TW-CO-001,6.78868983226331,G1P
TW-CZ-001,6.732538389108461,G1P
TW-AT-002,6.724133178688126,G1R
TW-AP-001,6.40288424749271,G1R
TW-DZ-002,6.893635138377433,G1R
TW-AI-001,6.38391004220589,G1P
TW-DX-001,6.555248174354987,G1P
TW-DJ-001,7.083584009683567,G1P
TW-DQ-001,6.870081386560626,G1P
TW-AZ-001,6.962804011123589,G1R
TW-DU-002,6.894146815612128,G1P
TW-DK-001,6.822490075035881,G1R
TW-BZ-001,6.709505242512125,G1R
TW-AV-002,6.6200451803866125,G2R
TW-CQ-001,6.4825740849461075,G2P
TW-AN-001,6.7985819392234275,G1P
TW-EH-002,6.630038897817472,G1P
TW-CG-001,6.220666109954803,G1P
TW-BE-002,6.64452557004986,G1P
TW-EE-001,6.956813622705027,G1P
TW-CN-001,6.362855124607321,G2R
TW-BN-001,6.197454873033007,G1P
TW-CF-002,6.658766581157732,G2R
TW-CQ-002,6.715084769308751,G2R
TW-BT-002,6.274228776942313,G2R
TW-DR-001,6.919978587171371,G1P
TW-DA-001,6.65164044687518,G2R
TW-DU-001,6.822063465660524,G1R
TW-AR-001,5.751623222699162,G1P
TW-CB-002,6.744529991915113,G1P
TW-BV-001,6.208460652010538,G1P
TW-AK-001,6.487086384558237,G2P
TW-AY-002,6.711554417307261,G1R
TW-AX-001,6.459603782889867,G1P
TW-AG-002,6.255408344365053,G1P
TW-AU-001,6.676545647020182,G1P
TW-DG-002,6.590328229707367,G1R
TW-BE-001,6.590098593379499,G1R
TW-DS-001,6.791060948759568,G1R
