feat importance	hashedID	featueID	ATTRIBUTE_adv_fibrosis[T.1]	kingdom	superclass	class	subclass	direct_parent
0.05885156936603739	cad6579a4a3666ba17eb7df0f0a49deb	108	4.25041294769309	unclassified	unclassified	unclassified	unclassified	unclassified
0.028442628767280733	7dd110cefad8f55e39e353c5389a1a98	83	4.242195374527189	unclassified	unclassified	unclassified	unclassified	unclassified
0.024182736561159934	26264d872b76e26a3e261e0d183b8a3d	289	4.22813535408041	unclassified	unclassified	unclassified	unclassified	unclassified
0.024385327431861996	bdc8f0f8e01251da0dbaba2975b4bb74	209	4.21633601860068	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	1-acyl-sn-glycero-3-phosphocholines
0.016824819409698072	acb7269def0f8dc125ceb679f1e5b9eb	1568	4.21501661018393	unclassified	unclassified	unclassified	unclassified	unclassified
0.0903010553599298	ddbebd551cdb2e3c0f0cc1126e09cec9	206	4.21304798797629	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	1-monoacylglycerols
0.030953750038145673	0b141fb48147d2ce28d648bec618a6f3	944	4.19505000785849	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides
0.012135854590925687	fdf542c1a2630650497b4621a2ca1794	107	4.16538358406088	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohol esters	Fatty alcohol esters
0.02153243665538283	1168832a5ac4cca6207f0a6b50571e7b	252	4.14793611244223	unclassified	unclassified	unclassified	unclassified	unclassified
0.035839143029634486	d9d6101115a042aa9f0be2055fbe8cfe	262	4.14271283821127	unclassified	unclassified	unclassified	unclassified	unclassified
0.048795018121839645	b966f31e7c82f28fa507ea6b59ab68a8	66	4.13406897262595	Organic compounds	Organoheterocyclic compounds	Benzimidazoles	Sulfinylbenzimidazoles	Sulfinylbenzimidazoles
0.06377638416621312	64c8b2818610a935ba2d92314954f71a	118	4.12790489868186	unclassified	unclassified	unclassified	unclassified	unclassified
